serial,clave,event,level0,name0,level1,name1,level2,name2,place,d_year,d_month,d_day,duration,cause,descr_cause,sources,magnitude,glide,other,killed,injured,missing,houses_destroyed,houses_damaged,victims,affected,relocated,evacuated,value_us,value_local,nschools,nhospitals,nhectares,ncatle,mts_roads,with_killed,with_injured,with_missing,with_houses_destroyed,with_hauses_damaged,with_victims,with_affected,with_relocated,with_evacuated,education,health,agriculture,water,sewage,industries,communications,transportation,power,relief,with_other,latitude,longitude,comments,defaultab,approved,uu_id
2005-0062,27267,Inundación,03,COCHABAMBA,0310,Chapare,031002,Colomi,Ríos,2005,1,27,0,Lluvias,,Datos 05 Nat.-36,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,c22e82cc-9016-4775-b050-3c2163fc9afd
2005-0125,27304,Inundación,06,TARIJA,0604,Avilez,060401,Uriondo,Calamuchita  Juntas,2005,2,21,0,Lluvias,,Datos 05 Nat.- 201.202,,,,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,58771097-e78d-46f5-9053-95a9961adee8
1971-0033,27305,Inundación,08,BENI,0805,Moxos,080501,San Ignacio,Parque Isiboro Sécure,1971,3,0,0,Lluvias,,Quipus - El Diario,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,ad19f7b5-e33f-41fe-8843-54d1c1124639
2004-0239,27306,Inundación,03,COCHABAMBA,0307,Capinota,030701,Capinota,Capinota,2004,1,24,0,Lluvias,,Datos 04.- 251,,,,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,ca4d1217-eb44-4be7-9f32-edabcebd0893
1984-0026,27325,Deslizamiento,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Zona La Merced,1984,1,0,0,Lluvias,,Quipus,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,e277c1a3-bce6-4096-a82c-65b4af7ea04a
2004-0211,27344,Inundación,07,SANTA CRUZ,0704,Ichilo,070403,Yapacani,Yapacani,2004,2,4,0,Lluvias,,Datos 04.- 288,,,,0,0,0,0,0,4820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0fdc66c3-49a8-4836-b140-c348fbd8dfcf
2004-0255,27363,Inundación,06,TARIJA,0604,Avilez,,,La Goma,2004,2,26,0,Lluvias,,Datos 04.- 392,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,9684bef3-f6c7-4e08-8ffa-4bbfcfcbdc98
2005-0111,27089,Inundación,06,TARIJA,0603,Gran Chaco,060301,Yacuiba,D orbigni,2005,2,16,0,Lluvias,,Datos 05 Nat.- 176,,,,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44 familias damnificadas.,,0,4546f805-602a-4691-8023-2438f9f951b9
2006-0174,27090,Inundación,09,PANDO,0903,Madre de Dios,090302,San Lorenzo,San Lorenzo,2006,2,7,0,Lluvias,,Datos Nat.06.- 537,,,,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66 familias damnificadas.,,0,dea25866-fe4b-4251-8f74-38fda20b6570
2004-0113,27364,Inundación,05,POTOSI,,,,,Retiro,2004,1,6,0,Lluvias,Daños en la carretera Potosí - Sucre,La Prensa,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,949f2676-c32e-4919-9dc4-f37d641182bf
